"gene","mean_kidney_meth","mean_liver_meth","n_dmrs","kidney_cpm","liver_cpm"
"1110059E24Rik",0.521376016484026,0.393163527456331,9,1045.20902280399,381.102173590944
"1500015A07Rik",0.00609511074379,0.00399081060265271,1,189.665693210063,87.8812192921818
"1700001K23Rik",0.673972995461285,0.545514455126545,4,0.992826339389024,2.63890312362548
"1700018L02Rik",0.00672402127303727,0.00543421280705746,1,14.4340955058515,8.5108206581016
"1700028P14Rik",0.140675897136215,0.179932307879658,3,2.57993326505932,0
"1700039E22Rik",0.0655684254257672,0.0948987900113117,1,5.63649551027162,0
"1700066B19Rik",0.0724866447985026,0.0156508601648414,1,5.77403740520468,3.86900366451531
"1700086O06Rik",0.20008651616311,0.0446191197234569,9,168.930213481524,189.427865053232
"1700092M07Rik",0.0995980140913501,0.126949182979367,1,4.22131489095453,1.84051967747257
"1700105P06Rik",0.220161317113031,0.332150472630326,2,6.50011968382062,1.34567807641284
"1700120E14Rik",0.53455978316427,0.57153270751557,4,10.3022727939437,0.923860245148715
"1810009A15Rik",0.00792972271344846,0.00535222089099793,2,1169.29230080762,1088.98311976409
"1810055G02Rik",0.0752940418608571,0.0693743571069946,3,699.987312113347,458.680609143597
"2010003K11Rik",0.260531597498121,0.314384466524325,3,0.862327968180266,2.46360413712673
"2010010A06Rik",0.492907327616463,0.272524838761457,4,1.11737029678024,0.515937618697341
"2310034G01Rik",0.0153564118647497,0.0256210716519567,1,35.2482335380159,8.57626958945809
"2610016A17Rik",0.165899912477861,0.296985591493862,4,1.7646293779177,1.7660113711998
"2700046A07Rik",0.52565294980085,0.553978401430624,5,13.0013468090701,1.02645772553837
"2700046G09Rik",0.00828349025311922,0.0110290991651641,1,62.0494334771652,17.4525680043113
"2700062C07Rik",0.3054234956753,0.113842952816295,3,441.570261234157,305.231306295351
"2700081O15Rik",0.304165948397523,0.357378496840969,3,413.436466187992,87.8385900563262
"2700089I24Rik",0.421068985612474,0.55243712047297,11,3.18909887953811,0
"4430402I18Rik",0.431582673656042,0.422511782933462,3,23.034302816015,17.3106810517685
"4833419F23Rik",0.214954497706519,0.226642010523348,3,3.45843535104866,3.35670025670574
"4930426D05Rik",0.198967793696932,0.281085204116564,5,80.9787666721648,0
"4930445N18Rik",0.330732507802053,0.367048101726829,9,1.04598856974299,0.28422912842411
"4930465K10Rik",0.0740761684810077,0.109941185843086,3,1.43167963522235,0.729016775459501
"4930481A15Rik",0.4481398442041,0.418738794776679,4,55.622736724626,58.0186153863755
"4930503L19Rik",0.365132900118366,0.463929740545539,7,619.852066204,510.449349697535
"4930549G23Rik",0.00305624775502874,0.00402792323430747,1,30.0324998672744,15.9163742886805
